State,Conservative,Moderate,Liberal,Don't know,Sample size
Alabama,50%,29%,12%,8%,511
Alaska,34%,37%,23%,6%,310
Arizona,39%,31%,23%,7%,653
Arkansas,42%,38%,14%,6%,311
California,31%,34%,29%,6%,"3,697"
Colorado,33%,34%,28%,5%,504
Connecticut,33%,36%,25%,6%,377
Delaware,26%,40%,25%,9%,301
District of Columbia,15%,39%,36%,10%,303
Florida,37%,31%,24%,8%,"2,020"
Georgia,42%,32%,20%,6%,968
Hawaii,30%,42%,21%,6%,312
Idaho,42%,32%,21%,5%,320
Illinois,32%,35%,27%,6%,"1,326"
Indiana,41%,31%,20%,8%,654
Iowa,41%,31%,23%,6%,330
Kansas,39%,31%,27%,3%,307
Kentucky,42%,29%,23%,6%,439
Louisiana,50%,30%,14%,6%,465
Maine,34%,33%,30%,3%,303
Maryland,26%,36%,29%,9%,644
Massachusetts,23%,35%,36%,6%,704
Michigan,35%,33%,24%,8%,982
Minnesota,35%,32%,27%,7%,563
Mississippi,45%,30%,19%,6%,309
Missouri,39%,32%,21%,8%,642
Montana,44%,31%,21%,5%,312
Nebraska,41%,29%,21%,9%,312
Nevada,33%,37%,24%,5%,314
New Hampshire,34%,34%,28%,4%,303
New Jersey,29%,37%,28%,7%,886
New Mexico,34%,36%,23%,7%,312
New York,29%,34%,31%,6%,"1,966"
North Carolina,40%,32%,23%,5%,"1,022"
North Dakota,45%,30%,22%,3%,338
Ohio,40%,32%,21%,7%,"1,132"
Oklahoma,38%,37%,19%,6%,391
Oregon,30%,34%,30%,6%,419
Pennsylvania,36%,34%,23%,8%,"1,366"
Rhode Island,26%,35%,30%,8%,305
South Carolina,43%,35%,15%,6%,495
South Dakota,47%,32%,15%,5%,305
Tennessee,46%,27%,19%,8%,661
Texas,39%,32%,21%,7%,"2,535"
Utah,45%,31%,20%,4%,315
Vermont,30%,32%,35%,3%,306
Virginia,39%,37%,19%,5%,882
Washington,30%,33%,30%,7%,714
West Virginia,47%,30%,16%,6%,309
Wisconsin,41%,36%,19%,4%,600
Wyoming,41%,33%,17%,9%,316